tag;vi;en;;
USE UTF-8 encoding!!!;;;;
interface_language;Ngôn ngữ;language;;
options_on;Mở;On;;
options_off;Tắt;Off;;
confirm_yes;Có;Yes;;
confirm_no;Không;No;;
System;;;;
new_game;Game mới;New Game;;
continue;Tiếp tục;Continue;;
to_title;Màn hình chính;To Title;;
cancel;Hủy;Cancel;;
optimize;Tối ưu;Optimize;;
clear;Dọn sạch;Clear;;
buy;Mua;Buy;;
sell;Bán;Sell;;
weapon;Vũ khí;Weapon;;
armor;Giáp;Armor;;
key_item;Nhiệm vụ;Key Item;;
equip;Trang bị;Equip;;
formation;Tổ đội;Formation;;
options;Cài đặt;Options;;
save;Lưu;Save;;
game_end;Thoát game;Game End;;
item;Vật phẩm;Item;;
skill;Kỹ năng;Skill;;
status;Trạng thái;Status;;
fight;Chiến;Fight;;
escape;Trốn thoát;Escape;;
attack;Tấn công;Attack;;
guard;Bảo vệ;Guard;;
max_hp;HP tối đa;Max HP;;
max_mp;MP tối đa;Max MP;;
defense;Phòng thủ;Defense;;
m_attack;Tấn công phép;M.Attack;;
m_defense;Phòng thủ phép;M.Defense;;
agility;Tốc độ;Agility;;
luck;May mắn;Luck;;
hit;Chính xác;Hit;;
evasion;Né;Evasion;;
always_dash;Luôn luôn chạy;Always Dash;;
command_remember;Nhớ thao tác;Command Remember;;
bgm_volume;Âm thanh nền;BGM Volume;;
bgs_volume;Âm thanh thời tiết;BGS Volume;;
me_volume;Âm thanh khác;ME Volume;;
se_volume;Âm thanh kỹ năng;SE Volume;;
possession;Sở hữu;Possession;;
current;%1 Hiện có;Current %1;;
to_next;%1 tiếp theo cần;To Next %1;;
save_file;Lưu game ở mục?;Save to which file?;;
load_file;Tải game ở mục?;Load which file?;;
file;Mục;File;;
party;Đội của %1;%1's Party;;
emerged;%1 đã xuất hiện!;%1 emerged!;;
got_hand;%1 chiếm ưu thế!;%1 got the upper hand!;;
surprised;%1 ngạc nhiên!;%1 was surprised!;;
escape;%1 chạy là thượng sách!;%1 has started to escape!;;
escape_fail;Lỡ vấp phải hòn đá rồi! Chạy thất bại;However it was unable to escape!;;
victorious;%1 chiến thắng!;%1 was victorious!;;
was_defeated;%1 đã bị đánh bại.;%1 was defeated.;;
recevived;Nhận được %1 %2!;%1 %2 received!;;
gold_found;Nhận được %1 \G!;%1\G found!;;
found_item;Nhận được %1!;%1 found!;;
level_up;%1 đã lên cấp %2 %3!;%1 is now %2 %3!;;
learned_skill;%1 Skill mới!;%1 learned!;;
uses_item;%1 sử dụng %2!<CENTER>;%1 uses %2!<CENTER>;;
crit_hit;Chí mạng!!<CENTER>;An excellent hit!!<CENTER>;;
crit_hit_en;Bị dính chí mạng!! Quá ghê gớm!<CENTER>;A painful blow!!<CENTER>;;
dam_en;%1 bị dính %2 sát thương!<CENTER>;%1 took %2 damage!<CENTER>;;
recovery;%1 hồi phục %2 %3!<CENTER>;%1 recovered %2 %3!<CENTER>;;
gained;%1 nhận %2 %3!<CENTER>;%1 gained %2 %3!<CENTER>;;
lost;%1 mất %2 %3!<CENTER>;%1 lost %2 %3!<CENTER>;;
drained;%1 đã hấp thụ %2 %3!<CENTER>;%1 was drained of %2 %3!<CENTER>;;
no_damage;%1 Không phải nhận tý sát thương nào luôn!<CENTER>;%1 took no damage!<CENTER>;;
miss;Trượt! %1 Không phải nhân sát thương!<CENTER>;Miss! %1 took no damage!<CENTER>;;
dam;%1 nhận %2 sát phương!<CENTER>;%1 took %2 damage!<CENTER>;;
evaded_dam;%1 né nhẹ!<CENTER>;%1 evaded the attack!<CENTER>;;
null_magic;%1 né đòn tấn công bằng pháp thuật!<CENTER>;%1 nullified the magic!<CENTER>;;
reflect_magic;%1 phản lại đòn tấn công pháp thuật!<CENTER>;%1 reflected the magic!<CENTER>;;
counter_attack;%1 phản công!<CENTER>;%1 counterattacked!<CENTER>;;
protected;%1 bảo vệ %2!<CENTER>;%1 protected %2!<CENTER>;;
buff_up;%1 đã được tăng %2!<CENTER>;%1's %2 went up!<CENTER>;;
buff_down;%1 đã bị giảm %2!<CENTER>;%1's %2 went down!<CENTER>;;
buff_gone;%1 đã hết %2 !<CENTER>;%1's %2 returned to normal!<CENTER>;;
Skill;;;;
double_attack;Tấn công đối thủ 2 lần;Attack the opponent 2 times;;
fire_mage_1;Triệu hồi 1 quả cầu lửa để gây sát thương cho đối thủ;Summon 1 fireball to damage the opponent;;
fire_mage_2;và có 5% cơ hội gây cháy;and has a 5% chance to cause a fire;;
possess_mind;Tăng 20% sức tấn công của bản thân;Increases own attack power by 20%;;
rage_blow_1;Tấn công đối thủ ở trước mặt đẩy lùi chúng và đóng;Attack the opponent in front repel them and;;
rage_blow_2;băng với 5% cơ hội;freeze with 5% chance;;
heal_mage;Hồi phục 1 lượng máu cho đồng minh và 1 lượng giáp ảo;Restores 1 health to allies and 1 virtual armor;;
breaking_area_1;Triệu hồi 1 lửa tại khu vực nhất định gây sát thương;Summons 1 fire in a certain area dealing damage;;
breaking_area_2;toàn bộ đối thủ trong phạm vi với 10% cơ hội gây cháy;all enemies in range with 10% chance to cause fire;;
disrupting_strike;Tấn công đối thủ bằng 1 loạt những nhát tấn công\n\rcó 10% cơ hội làm đóng băng đối thủ;Attacks the opponent with a series of attacks\n\rwith a 10% chance to freeze the opponent;;
vampiric_thrust;Đâm đối thủ bằng 1 đường kiếm bay tới mục tiêu để hấp\n\rthụ 1 lượng máu tương đương và 10% cơ hội câm lặng;Stab an opponent with a flying sword to absorb\n\ran equal amount of health and gain a 10% chance of silence\n\r;;
reckless_tornado_blast;Tạo 1 cơn lốc lửa khiến đối thủ có 50% cơ hội bị cháy;Creates a fire tornado that causes the opponent\n\rto have a 50% chance of being burned.;;
arcane-fire_storm;Tấn công bằng liên hoàn cầu lửa vào đối thủ với 10% cơ\n\rhội cháy mỗi lần;Attacks the opponent with a series of fireballs\n\rwith a 10% chance to burn each time\n\r;;
multishot;Bắn 1 loạt mũi tên vào đối thủ;Shoot a volley of arrows at the opponent;;
focusshot;Bắn 1 mũi tên với sát thương cao và có 30% cơ hội khiến\n\rđối thủ cháy;Fires an arrow with high damage and a 30%\n\rchance to set the target on fire;;
sharpmethod;Tăng 15% tỷ lệ chí mạng và cơ hội né đòn chí mạng;Increases critical strike rate and critical\n\rstrike dodge chance by 15%.;;
arrowrain;Bắn 1 mưa mũi tên vào khu vực chỉ định đồng thời có\n\r10% tỷ lệ cháy đối thủ;Fires a rain of arrows at the target area\n\rand has a 10% chance to burn the target;;
Items;;;;
hp_potion;Hồi 500 HP khi sử dụng;Recover 500 HP when used;;
mp_potion;Hồi 200 MP khi sử dụng;Recovers 200 MP when used;;
orange;Cam;Orange;;
orange_desc;Tăng tốc độ tấn công;Increase attack speed;;
saw;Cưa;Saw;;
saw_desc;Vật phẩm sử dụng để sử dụng chặt gỗ;Items used for chopping wood;;
wood;Gỗ;Wood;;
wood_desc;Gỗ lấy được từ cây;Wood obtained from trees;;
mushroom;Loại nấm trong hang động;Mushrooms in caves;;
hp_potion_med;Hồi 1000 HP khi sử dụng;Recover 1000 HP when used;;
mp_potion_med;Hồi 500 MP khi sử dụng;Recovers 500 MP when used;;
grape;Nho;Grapes;;
grape_desc;Tăng sát thương;Increase attack damage;;
poison;Loại độc từ bọ cạp;Poison from scorpions;;
desert_water;Loại nước từ cây xương rồng;Water from cactus;;
string;Loại dây tơ từ nhện;Strings from spiders;;
recovery_potion;Hồi phục 100% lượng HP và MP của bản thân đồng thời hồi\n\rphục thêm 20 TP;Restores 100% of own HP and MP and restores an\n\radditional 20 TP;;
scroll_of_exp;Tăng 20% lượng exp nhận được;Increases exp received by 20%;;
EventHints;;;;
gentle_fox_caste_2;\}Tộc người cáo;\}Fox people;;
gentle_fox_caste_3;Sở hữu đôi cánh sau lưng và;Has wings on them back;;
gentle_fox_caste_4;Pháp thuật đặc trưng là lửa và ;Magic is characterized by fire and;;
gentle_fox_caste_5;thuộc tầng lớp đứng thứ 2;belonging to the 2nd class;;
pure_stalker_2;\}Tộc người không sở hữu đôi cánh;\} People who don't own wings;;
pure_stalker_3;sau lưng nên họ không có pháp thuật;behind them so they don't have magic;;
pure_stalker_4;họ thuộc nhiều loài sống cùng nhau;they belong to many species that live together;;
pure_stalker_5;và thuộc tầng lớp thấp nhất;and belongs to the lowest class;;
saw;\C[30]Cưa \I[351]\C[0]\r\n\}Vật phẩm để chặt cây.;\C[30]Saw \I[351]\C[0]\r\n\}An item for cutting trees.;;
arcane_rage_tribe;\C[10]Arcane Rage Tribe \C[0]\r\n\}Tộc người bò sát\r\nSở hữu đôi cánh sau lưng và\r\nPháp thuật đặc trưng là băng\r\nthuộc tầng lớp đứng thứ 3;\C[10]Arcane Rage Tribe \C[0]\r\n\}Reptilian Tribe\r\nPossess wings on back and\r\nSpecific magic is ice\r\nbelongs to 3rd class;;
crimson_heaven_caste;\C[29]Crimson Heaven Caste \C[0]\r\n\}Tộc người nhiều màu da\r\nSở hữu đôi cánh sau lưng và\r\nPháp thuật của họ rất đa dạng\r\nthuộc tầng lớp cao nhất;\C[29]Crimson Heaven Caste \C[0]\r\n\}Multicolored Race\r\nPossesses wings on its back and\r\nTheir magic is very diverse\r\nbelongs to the highest class;;
valhalla;\C[31]Valhalla \C[0]\r\n\}Tổ đội trong huyền thoại\r\nbao gồm nhiều tộc\r\nhọ từng là biểu tượng\r\ncủa hòa bình;\C[31]Valhalla \C[0]\r\n\}The legendary party\r\nconsisting of many clans\r\nthey were once symbols\r\nof peace;;
Galv;;;;
credits;Giới thiệu;Credits;;
BGS_Studio;;;;
back_button_bgs;Quay lại;Back;;
YEP_SaveCore;;;;
autosave_options;Tự động lưu;Autosave;;
autosave_com;\I[348]Tự động lưu...!;\I[348]Autosave Complete!;;
autosave_load;\I[348]Tải lại tự động lưu!;\I[348]Autosave Loaded!;;
save_load;Tải lại;Load;;
save_save;Lưu;Save;;
save_delete;Xóa;Delete;;
save_select_file;Chọn file;Please select a file slot.;;
